Id,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,key,mode,count,genres,filtered_genre,gender,race,api,black,hispanic,white,populairty
2 Pistols,0.00431,0.517,274053,0.747,0,0.345,-6.191,0.105,134.058,0.271,10,0,1,"['dirty south rap', 'pop rap', 'southern hip hop', 'trap']",Hip-hop,unknown,white,0.003659112,0.22478837,0.03857586,0.7329766,52
21 Savage,0.123776734,0.791886076,225374.557,0.551607595,0.015091409,0.178807595,-7.411455696,0.284291139,124.419519,0.332216456,1,1,79,"['atl hip hop', 'rap', 'trap']",Hip-hop,unknown,white,0.004523364,0.1639488,0.01724812,0.81427974,66.20253165
24hrs,0.0598,0.5405,197806.5,0.74,0,0.12435,-5.4345,0.18005,117.9925,0.34,1,1,4,"['trap', 'trap soul', 'underground hip hop', 'vapor trap']",Hip-hop,unknown,white,0.003890726,0.005559275,0.007630126,0.9829199,67.5
24kGoldn,0.118269412,0.731588235,163177.4118,0.681235294,1.63E-06,0.16,-5.403823529,0.123764706,131.3191176,0.566823529,0,0,17,"['cali rap', 'pop rap']",Pop,unknown,white,0.001509269,0.1420396,0.010613022,0.8458381,69.47058824
27CLUB,0.428,0.514,155893,0.712,8.77E-06,0.112,-7.281,0.334,76.393,0.487,2,1,2,['emo rap'],Rap,unknown,white,0.001186896,0.004683108,0.05991735,0.9342126,70
2CELLOS,0.603,0.5865,253046.5,0.499,0.42984,0.149,-8.705,0.04035,122.251,0.6005,2,1,4,"['bow pop', 'cello', 'classify']",Pop,unknown,hispanic,0.03631616,0.006462497,0.8678213,0.089399986,58.5
2Pac,0.131851509,0.77690785,262092.3208,0.708177474,0.007405552,0.224146758,-7.00652901,0.223463481,107.1581638,0.610143345,1,1,293,"['g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']",Hip-hop,unknown,api,0.52658445,0.064962685,0.09218536,0.31626746,49.08532423
2nd II None,0.038204444,0.912222222,225997.1111,0.536111111,1.12E-06,0.255111111,-12.02122222,0.188377778,103.6753333,0.800444444,6,0,9,"['gangster rap', 'west coast rap']",Rap,unknown,white,0.047517568,0.039351437,0.11262992,0.8005011,35.33333333
3 Doors Down,0.038478175,0.503,232900.1091,0.792672727,0.006129951,0.157850909,-5.679090909,0.037990909,128.8442,0.445181818,7,1,55,"['alternative metal', 'nu metal', 'pop rock', 'post-grunge']",Pop,unknown,white,0.002809791,0.20965691,0.017117947,0.7704153,49.72727273
3BallMTY,0.213,0.792,193533,0.916,3.11E-05,0.061,-5.01,0.0685,131.895,0.966,9,1,1,"['mexican indie', 'trival']",Indie,unknown,white,0.005427947,0.08636596,0.023499819,0.88470626,57
3LAU,0.1013,0.5335,201705,0.7705,3.46E-05,0.227,-4.26,0.0566,115.002,0.268,3,1,2,"['big room', 'edm', 'electro house', 'electronic trap', 'electropop', 'mashup', 'pop edm', 'progressive electro house', 'progressive house', 'tropical house']",EDM,unknown,api,0.9694314,0.001478502,0.00371336,0.025376713,58
3LW,0.0558,0.7178,272055.8,0.7196,2.17E-05,0.15058,-5.9238,0.11084,129.6848,0.6678,6,0,5,"['girl group', 'hip pop', 'r&b', 'urban contemporary']",Pop,unknown,api,0.562272,0.073607,0.07148705,0.29263395,49.2
3OH!3,0.020766,0.68375,193600.85,0.7932,4.45E-05,0.31715,-3.92975,0.17853,125.77265,0.54965,5,1,20,"['dance pop', 'electropowerpop', 'pop', 'pop punk', 'pop rap', 'post-teen pop']",EDM,unknown,white,0.016554633,0.07015439,0.028450496,0.8848405,53.7
3T,0.349666667,0.669666667,320777.6667,0.435666667,0.000150967,0.330666667,-11.056,0.0342,113.091,0.479333333,10,0,3,"['electro-industrial', 'industrial', 'industrial metal', 'industrial rock']",Metal,unknown,api,0.562272,0.073607,0.07148705,0.29263395,45.33333333
42 Dugg,0.2332,0.8776,175701,0.565,0,0.09664,-5.2062,0.316,127.2876,0.4086,10,0,5,"['detroit trap', 'southern hip hop', 'trap']",Hip-hop,unknown,white,0.001849151,0.1044822,0.007683028,0.88598555,71
420 Unlovable,0.347,0.954,166635,0.58,1.87E-06,0.134,-8.924,0.367,128.003,0.48,7,1,1,['meme rap'],Rap,unknown,white,0.005469347,0.013721183,0.013149919,0.9676596,60
4B,0.00441,0.63,224052,0.851,0.0218,0.0939,-4.61,0.319,150.054,0.573,1,1,1,"['brostep', 'electro house', 'electronic trap']",EDM,unknown,api,0.562272,0.073607,0.07148705,0.29263395,54
5 Seconds of Summer,0.059827234,0.546755319,197841.2447,0.807755319,1.11E-05,0.177270213,-4.401457447,0.083253191,137.1530957,0.531,2,1,94,"['boy band', 'dance pop', 'pop', 'post-teen pop']",EDM,androgynous,white,0.008554345,0.021305544,0.012617226,0.95752287,61.92553191
50 Cent,0.127395868,0.69248503,233712.4551,0.761335329,0.00058395,0.191894012,-4.100712575,0.264173054,105.6604491,0.588700599,1,1,167,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'queens hip hop', 'rap']",Hip-hop,unknown,white,0.005492357,0.14141928,0.01935929,0.8337291,52.19760479
5th Ward Boyz,0.158,0.842,352173,0.336,0,0.256,-8.227,0.379,78.001,0.599,4,0,1,"['dirty south rap', 'dirty texas rap', 'gangster rap']",Rap,male,white,0.002936923,0.048734426,0.016201418,0.93212724,36
6LACK,0.321816471,0.636372549,216116.8235,0.509215686,0.002125964,0.119180392,-8.324352941,0.168223529,118.1979804,0.310494118,0,1,51,"['alternative r&b', 'atl hip hop', 'hip hop', 'melodic rap', 'pop', 'pop rap', 'rap', 'trap']",Hip-hop,unknown,white,0.028110122,0.31749606,0.008761616,0.64563215,65.11764706
6ix9ine,0.100766667,0.736933333,159113.5333,0.675066667,3.24E-05,0.147386667,-5.502733333,0.234303333,129.4227,0.454633333,1,1,30,['emo rap'],Rap,unknown,white,0.043775033,0.041829545,0.021509122,0.89288634,69.86666667
702,0.197222222,0.74,255970.2222,0.611222222,0.004324127,0.164422222,-8.152,0.065811111,99.07011111,0.59,10,1,9,"['girl group', 'hip pop', 'neo soul', 'new jack swing', 'r&b', 'urban contemporary']",Pop,unknown,api,0.562272,0.073607,0.07148705,0.29263395,51.88888889
88-Keys,0.13795,0.649,195875.5,0.6435,5.35E-07,0.421,-5.637,0.28,122.3495,0.5,1,1,2,['alternative hip hop'],Hip-hop,unknown,white,0.004965366,0.32929984,0.018334614,0.6474002,54.5
88rising,0.389328571,0.6,200515.5714,0.530142857,0.000212601,0.175414286,-8.089,0.101042857,119.2835714,0.388857143,7,1,7,"['asian american hip hop', 'pop']",Hip-hop,unknown,white,0.005931289,0.07543252,0.02009359,0.89854264,67.14285714
8Ball,0.068907143,0.7885,280319.1429,0.661928571,0.000557282,0.234214286,-6.577428571,0.191535714,119.9201429,0.538857143,1,1,14,"['crunk', 'deep southern trap', 'dirty south rap', 'gangster rap', 'memphis hip hop', 'rap', 'southern hip hop', 'trap']",Hip-hop,unknown,white,0.00633614,0.092260376,0.014414621,0.8869888,41.57142857
8Ball & MJG,0.046216,0.7446,304293.2667,0.696666667,0,0.244573333,-6.984466667,0.228893333,132.3586667,0.577,11,1,15,"['dirty south rap', 'gangster rap', 'memphis hip hop', 'rap', 'southern hip hop', 'trap']",Hip-hop,unknown,white,0.012279121,0.10580932,0.029636161,0.8522754,39.93333333
93FEETOFSMOKE,0.139,0.816,148140,0.577,0,0.0827,-5.998,0.41,171.028,0.459,1,1,1,"['dark trap', 'emo rap', 'underground hip hop']",Hip-hop,unknown,white,0.001148899,0.007341437,0.008150336,0.98335934,68
98º,0.332033333,0.622722222,250988.1111,0.585444444,3.94E-07,0.116638889,-8.166611111,0.042561111,103.3227778,0.431166667,10,1,18,"['boy band', 'dance pop']",EDM,unknown,api,0.562272,0.073607,0.07148705,0.29263395,49.83333333
9lokknine,0.033133333,0.864333333,181220,0.544,0,0.1746,-8.401333333,0.272666667,90.15666667,0.521,0,0,6,"['florida rap', 'vapor trap']",Rap,unknown,white,0.005208599,0.05736619,0.017865585,0.9195596,71.33333333
9tails,0.404,0.711,217182,0.545,0,0.122,-6.81,0.0322,108.02,0.345,11,1,2,['emo rap'],Rap,unknown,white,0.001972248,0.24198084,0.022975529,0.7330713,67
9th Wonder,0.232,0.685,259060,0.518,0.00075566,0.13955,-8.679,0.228,90.4195,0.5295,7,1,4,"['alternative hip hop', 'hip hop', 'nc hip hop']",Hip-hop,unknown,white,0.004797063,0.08070248,0.021696359,0.8928041,49.5
?uestlove,0.198,0.885,307120,0.598,0,0.384,-6.663,0.372,95.402,0.779,6,1,2,['philly rap'],Rap,unknown,white,0.007572992,0.060216263,0.03628169,0.89592904,41
A Boogie Wit da Hoodie,0.263017255,0.711480392,192163.4118,0.623303922,1.26E-06,0.161848039,-6.769333333,0.218744118,120.1283431,0.49877451,5,0,102,"['melodic rap', 'pop rap', 'rap', 'trap']",Pop,male,white,0.00425517,0.12251647,0.023181912,0.85004646,65.23529412
A Day To Remember,0.025386785,0.400111111,207685.9259,0.918740741,8.73E-05,0.286644444,-4.435851852,0.112564815,144.3046296,0.454703704,0,1,108,"['metalcore', 'pop punk', 'screamo']",Pop,androgynous,white,0.004193526,0.0181704,0.013701049,0.963935,53.09259259
A Great Big World,0.6258,0.4695,243813.5,0.374625,0.000201442,0.113625,-8.29675,0.043625,119.454125,0.22725,2,1,8,"['indiecoustica', 'neo mellow', 'piano rock', 'pop rock']",Indie,unknown,white,0.00319248,0.17420828,0.015573659,0.80702555,58.25
A R I Z O N A,0.179569231,0.655076923,190651.3077,0.649,0.054813788,0.117338462,-7.372307692,0.051307692,103.9159231,0.347615385,0,1,13,"['edm', 'electropop', 'indie poptimism', 'indietronica', 'pop', 'tropical house']",EDM,unknown,api,0.562272,0.073607,0.07148705,0.29263395,65.07692308
A Touch Of Class,0.31425,0.6755,181186.5,0.91725,0.033055,0.11875,-6.03175,0.030325,128.456,0.605,9,0,4,"['bubblegum dance', 'europop']",EDM,unknown,white,0.004183346,0.0837899,0.025101384,0.8869254,64.75
A Tribe Called Quest,0.160467397,0.825671233,224595.1507,0.568746575,0.051088349,0.215568493,-9.590739726,0.269931507,97.587,0.696616438,11,1,146,"['alternative hip hop', 'conscious hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'jazz rap', 'queens hip hop', 'rap']",Hip-hop,unknown,white,0.07560223,0.014084295,0.19213514,0.71817833,46.06164384
A$AP ANT,0.10145,0.8305,247553.5,0.614,0,0.30615,-5.6635,0.1577,127.49,0.432,11,1,2,"['baltimore hip hop', 'drill', 'underground hip hop', 'vapor trap']",Hip-hop,unknown,white,0.007631921,0.3175225,0.027732972,0.6471126,57.5
A$AP Ferg,0.1123776,0.76035,214487.225,0.718825,4.48E-06,0.2365225,-5.19415,0.21045,130.258875,0.3902,1,1,40,"['hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap', 'underground hip hop']",Hip-hop,unknown,white,0.002414606,0.031914916,0.011799861,0.9538706,61.325
A$AP Mob,0.23123,0.7787,239786.2,0.7157,1.65E-06,0.19892,-5.9061,0.25684,127.9901,0.4691,8,1,10,"['hip hop', 'rap', 'southern hip hop', 'trap', 'vapor trap']",Hip-hop,unknown,white,0.022814687,0.051154554,0.023189878,0.9028409,59.3
A$AP NAST,0.143,0.79,229144,0.730666667,0,0.1371,-5.098333333,0.249133333,121.6696667,0.619,11,1,3,['harlem hip hop'],Hip-hop,unknown,white,0.008218939,0.013138751,0.009724044,0.9689183,55.66666667
A$AP Rocky,0.188404321,0.671706422,218011.5963,0.66006422,0.024771392,0.228302752,-7.082477064,0.201289908,126.5779174,0.40220367,1,1,109,"['east coast hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",Hip-hop,male,white,0.00050661,0.013242618,0.008311166,0.97793967,62.66055046
A$AP Twelvyy,0.206816667,0.7405,227795,0.709833333,0,0.266883333,-6.400666667,0.2744,128.8426667,0.469166667,11,1,6,"['hip hop', 'rap', 'underground hip hop']",Hip-hop,unknown,white,0.010858407,0.019889215,0.017156271,0.95209605,55.5
A. M. Rajah,0.8835,0.55595,189582.25,0.48975,0.252461624,0.213195,-9.42375,0.109735,130.84785,0.8648,6,1,20,"['deep indian pop', 'filmi']",Pop,male,white,0.35384643,0.22597542,0.047724865,0.37245324,4.4
A.R. Rahman,0.349903333,0.653666667,335205.5,0.556333333,0.000110102,0.082066667,-10.72966667,0.044666667,119.4456667,0.566833333,9,1,6,"['desi pop', 'filmi', 'modern bollywood', 'sufi']",Pop,male,api,0.89902365,0.014110295,0.015116829,0.07174926,57.5
ACOT,0.000319,0.73,169912,0.567,8.54E-06,0.105,-8.085,0.0587,119.997,0.171,1,0,2,['meme rap'],Rap,unknown,white,0.035165526,0.19447762,0.01722312,0.7531337,64
AJ Mitchell,0.3817,0.604,189474.5,0.526875,2.53E-07,0.0766,-5.99025,0.036775,111.603375,0.331125,5,1,8,"['pop', 'post-teen pop', 'social media pop']",Pop,male,white,0.003013908,0.15922147,0.017628245,0.8201364,73.75
AJ Tracey,0.0262,0.871,183066,0.87,1.98E-06,0.109,-4.797,0.202,150.147,0.83,9,1,1,"['grime', 'uk hip hop', 'ukg revival']",Hip-hop,female,white,0.004140086,0.1003999,0.020725593,0.87473446,62
AJR,0.213621887,0.599245283,216926.8868,0.647056604,0.000154362,0.168877358,-5.646603774,0.066928302,113.4057925,0.511396226,7,1,53,"['modern rock', 'pop rock']",Pop,unknown,white,0.004998941,0.025648808,0.073274426,0.8960779,57.50943396
AL-X The Great,0.282,0.797,173558,0.518,0,0.0954,-12.625,0.281,139.988,0.717,7,1,1,['meme rap'],Rap,female,white,0.006572979,0.19358523,0.013777154,0.7860646,55
ALLBLACK,0.0738,0.882,256967,0.775,0,0.701,-4.986,0.334,98.023,0.805,10,1,1,"['cali rap', 'hyphy', 'k-rap', 'west coast trap']",Rap,unknown,white,0.008290715,0.11453344,0.021038013,0.8561378,65
ARTY,0.01955,0.574,287786.5,0.781,0.011803135,0.2495,-4.675,0.0977,128.007,0.334,5,1,4,"['big room', 'edm', 'electro house', 'pop edm', 'progressive electro house', 'progressive house', 'progressive trance', 'trance', 'tropical house', 'uplifting trance']",EDM,unknown,white,0.03657833,0.16549994,0.19351958,0.6044022,53
ATL,0.124,0.919,289400,0.687,0.000816,0.0928,-12.346,0.109,132.884,0.925,1,0,1,"['modern rock', 'pop']",Pop,unknown,white,0.008399008,0.032270987,0.024888083,0.93444186,34
8-Aug,0.359,0.409,280842,0.678,4.76E-06,0.167,-7.731,0.0878,89.968,0.168,9,1,2,"['la pop', 'r&b']",Pop,unknown,white,0.011403582,0.05626631,0.021574348,0.91075575,0
AWAY,0.137,0.72,212571,0.633,0.00157,0.122,-5.212,0.0633,140.027,0.634,5,0,2,['traprun'],Rap,unknown,white,0.005187912,0.097337805,0.010695743,0.8867785,60
Aaliyah,0.153189444,0.682638889,250966.8889,0.599055556,0.00954216,0.220127778,-8.01525,0.108158333,124.3175833,0.637388889,9,0,36,"['dance pop', 'hip hop', 'hip pop', 'pop', 'pop rap', 'r&b', 'urban contemporary']",EDM,female,white,0.005971201,0.1581789,0.012410871,0.823439,43.94444444
Aaron Copland,0.951319149,0.347450355,254493.2837,0.160833688,0.46706214,0.154592908,-19.26223404,0.07128156,106.7104681,0.223959574,0,1,141,"['american modern classical', 'classical', 'early modern classical']",Classical,male,white,0.003046508,0.0676074,0.013925247,0.91542083,8.191489362
Aaron Krause,0.758,0.325,223893,0.201,0,0.0977,-11.595,0.0282,81.869,0.172,6,0,1,['indiecoustica'],Indie,male,white,0.006754546,0.002646678,0.02592752,0.9646713,66
Aaron Lewis,0.260641379,0.586655172,256748.5862,0.618517241,0.00047069,0.199096552,-5.853172414,0.030441379,130.2987931,0.368917241,6,1,29,"['alternative metal', 'contemporary country', 'country', 'country road', 'modern country rock', 'outlaw country', 'post-grunge', 'redneck']",Country,male,white,0.002414326,0.2909863,0.015097543,0.6915019,52.03448276
Aazar,0.00441,0.63,224052,0.851,0.0218,0.0939,-4.61,0.319,150.054,0.573,1,1,2,"['electro house', 'electronic trap']",EDM,unknown,white,0.023741899,0.065090686,0.030425271,0.88074213,54
Ab-Soul,0.185726316,0.647421053,273581.7368,0.693315789,1.80E-06,0.299478947,-6.778894737,0.273726316,116.0115263,0.524789474,1,0,19,"['alternative hip hop', 'conscious hip hop', 'hip hop', 'rap', 'southern hip hop', 'underground hip hop']",Hip-hop,unknown,white,0.01013798,0.06843916,0.012003849,0.909419,51.21052632
Abbey Lincoln,0.432285714,0.447714286,386346.5714,0.472857143,0.191343706,0.261714286,-10.00257143,0.072428571,81.337,0.445,7,1,7,['vocal jazz'],Jazz,female,white,0.005574485,0.05025262,0.029346429,0.91482645,23.42857143
Abel Zavala,0.569444444,0.527111111,249788.2222,0.497444444,0,0.345711111,-7.603666667,0.031822222,119.2708889,0.369222222,7,1,9,"['latin christian', 'latin worship', 'rap cristiano']",Rap,male,hispanic,0.028884852,0.004301706,0.86102754,0.10578595,54.55555556
Abir,0.0789,0.656,215781,0.729,0,0.133,-4.223,0.0765,95.974,0.438,5,0,2,['moroccan pop'],Pop,female,white,0.28195524,0.16728741,0.13725643,0.41350088,63
Abraham Vazquez,0.432,0.614,167288,0.793,0,0.377,-3.788,0.0721,105.228,0.748,3,1,1,"['corridos tumbados', 'regional mexican pop']",Pop,male,hispanic,0.004826587,0.005404905,0.9421842,0.04758424,67
Abstract,0.0901,0.641,212715,0.538,0,0.205,-10.398,0.245,79.038,0.296,7,1,1,"['hip hop', 'lgbtq+ hip hop', 'rap']",Hip-hop,unknown,white,0.008023987,0.032513916,0.028226076,0.9312361,59
Academy of Ancient Music,0.890181818,0.334272727,260773.2727,0.1948,0.090783727,0.174681818,-19.91254545,0.045545455,115.4035455,0.301118182,4,1,11,"['baroque ensemble', 'choral', 'classical performance', 'historically informed performance']",Classical,unknown,white,0.005989285,0.008531467,0.011079787,0.97439945,48.09090909
Academy of St. Martin in the Fields,0.947098592,0.25483662,336150.0563,0.096639155,0.736343662,0.140494366,-23.25176056,0.043578873,99.16421127,0.1784,7,1,71,"['chamber orchestra', 'classical', 'classical performance']",Classical,male,white,0.002199355,0.23010989,0.015536792,0.752154,34.73239437
Ace Hood,0.03982375,0.698875,276241,0.66325,0,0.207175,-6.26575,0.175025,138.420875,0.2811625,1,1,8,"['dirty south rap', 'gangster rap', 'hip hop', 'miami hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",Hip-hop,unknown,white,0.01606627,0.1676664,0.022727372,0.79354,55
Aceyalone,0.04072,0.799333333,275915.6667,0.761333333,1.46E-05,0.126333333,-7.604666667,0.215633333,94.22566667,0.485333333,7,1,3,"['abstract hip hop', 'alternative hip hop', 'hip hop', 'turntablism', 'underground rap']",Hip-hop,unknown,white,0.014048887,0.0723627,0.040466618,0.87312174,37.33333333
Achille Togliani,0.986666667,0.401833333,191216.6667,0.071483333,0.454353333,0.2085,-21.8735,0.060083333,89.39466667,0.259666667,5,1,12,"['canzone napoletana', 'classic italian pop', 'vintage italian pop']",Pop,male,white,0.008128696,0.006249711,0.039279398,0.9463422,2.333333333
Action Bronson,0.22024,0.535533333,274899.8,0.7052,2.37E-06,0.2474,-6.008266667,0.343393333,106.3488,0.520493333,1,1,15,"['alternative hip hop', 'east coast hip hop', 'hip hop', 'nyc rap', 'queens hip hop', 'rap', 'southern hip hop', 'underground hip hop']",Hip-hop,male,white,0.002976903,0.15372051,0.015578587,0.8277239,55.66666667
Adalberto Santiago,0.719583333,0.665416667,358014.5,0.73975,0.021753724,0.3795,-5.712083333,0.04695,123.2438333,0.869583333,5,1,12,"['latin jazz', 'salsa', 'salsa international', 'salsa puertorriquena', 'tropical']",Jazz,male,hispanic,0.05276738,0.000705011,0.9100735,0.03645413,31.16666667
Adam Calhoun,0.0795,0.8155,181388,0.6345,0,0.0824,-6.4515,0.1315,126.4465,0.3405,1,1,2,"['country rap', 'military rap', 'redneck']",Country,male,white,0.002825896,0.27345046,0.036746155,0.6869775,61.5
Adam Friedman,0.314,0.682,171765,0.716,0,0.108,-5.766,0.0424,90.04,0.854,7,0,1,['la pop'],Pop,male,white,0.003706669,0.008653423,0.018653078,0.9689868,53
Adam Hicks,0.167917286,0.532,176301,0.735285714,1.01E-06,0.133885714,-4.266285714,0.051871429,140.3574286,0.524142857,2,1,7,['post-teen pop'],Pop,male,white,0.0031858,0.20873752,0.020807829,0.76726884,56.28571429
Adam Levine,0.194925,0.566375,240700,0.71225,0.005734421,0.193675,-5.41275,0.1132,124.574875,0.5347,1,1,16,['pop rock'],Pop,male,white,0.007174845,0.087424174,0.030926194,0.8744748,60.5
Adele,0.438869524,0.564595238,249647.5238,0.500642857,0.002624017,0.130888095,-7.034880952,0.052583333,121.2531667,0.373130952,0,1,84,"['british soul', 'pop', 'uk pop']",Pop,female,white,0.023994762,0.045621794,0.07362679,0.8567566,60.47619048
Adem,0.694,0.482,285707,0.483,0.415,0.0924,-11.049,0.03,138.058,0.145,1,0,1,"['alternative metal', 'industrial metal', 'nu metal', 'post-grunge', 'rap metal', 'rap rock']",Metal,male,white,0.04706421,0.0438326,0.08186748,0.82723564,45
Adina Howard,0.1018,0.702666667,264702,0.740333333,3.90E-06,0.074266667,-5.916333333,0.072666667,96.68133333,0.600666667,11,0,3,"['hip pop', 'neo soul', 'new jack swing', 'r&b', 'urban contemporary']",Pop,female,white,0.006098019,0.24142358,0.021010809,0.7314676,56
Adje,0.00739,0.847,137595,0.573,0.0149,0.0845,-6.032,0.253,99.919,0.332,0,1,2,"['dutch hip hop', 'dutch trap pop']",Hip-hop,female,white,0.021124532,0.1293244,0.19119713,0.658354,72
Admiral Bailey,0.128,0.722,231400,0.565,0,0.056,-5.601,0.375,118.804,0.685,1,1,2,"['deep ragga', 'lovers rock', 'old school dancehall', 'roots reggae']",EDM,female,white,0.22808145,0.032708127,0.14698318,0.5922273,44
Adrian Marcel,0.0472,0.849,237653,0.534,0,0.25,-6.365,0.0699,102.014,0.599,4,1,1,['deep pop r&b'],Pop,male,white,0.01639005,0.05571639,0.36038855,0.56750506,59
Adrianne Pieczonka,0.906,0.31,354240,0.125,0.904,0.258,-17.338,0.0363,129.938,0.269,2,1,1,['classical soprano'],Classical,female,white,0.003420111,0.000779235,0.006875433,0.9889253,45
Adriel Favela,0.315,0.7938,178470.4,0.722,2.36E-07,0.1719,-6.8904,0.04334,109.5674,0.864,9,1,5,"['corridos tumbados', 'regional mexican pop']",Pop,unknown,hispanic,0.052837357,0.006961864,0.7013705,0.23883037,62.4
Adrienne Albert,0.9654,0.6094,87061.4,0.11822,0.000510122,0.15504,-18.0818,0.05488,100.8882,0.6452,9,0,10,['american contemporary classical'],Classical,female,white,0.002434681,0.007753626,0.012594413,0.97721726,0
Adventure Club,0.017245,0.5695,255962,0.6635,0.00268,0.09765,-4.82,0.04975,136.4995,0.178,9,1,2,"['brostep', 'canadian electronic', 'chillstep', 'complextro', 'edm', 'electro house', 'electronic trap', 'filthstep', 'melodic dubstep', 'pop edm']",EDM,unknown,white,0.004600543,0.009371262,0.019949889,0.96607834,53.5
Aerosmith,0.078510877,0.440015152,266323.1364,0.790477273,0.033241413,0.263157576,-7.660575758,0.04770303,127.8730152,0.536305303,9,1,264,"['album rock', 'classic rock', 'hard rock', 'rock']",Rock,unknown,white,0.003321667,0.1282885,0.019220559,0.8491693,40.34090909
Aesop Rock,0.200844444,0.683,236287.6111,0.710722222,0.001425809,0.2501,-7.848333333,0.3142,113.1646111,0.718444444,0,1,18,"['abstract hip hop', 'alternative hip hop', 'conscious hip hop', 'escape room', 'hip hop']",Hip-hop,male,white,0.002445213,0.038767964,0.009605468,0.9491814,42.77777778
Afro Bros,0.125,0.765,184558,0.906,0,0.423,-2.097,0.0965,96.071,0.95,8,0,1,"['basshall', 'dutch hip hop', 'dutch house', 'dutch trap pop']",Hip-hop,male,white,0.007427474,0.00770079,0.08398649,0.9008852,78
Afrojack,0.1589,0.732214286,260898.9286,0.774571429,0.210488586,0.267192857,-5.323714286,0.115585714,124.8351429,0.570214286,7,0,14,"['big room', 'dance pop', 'deep big room', 'dutch house', 'edm', 'electro house', 'pop', 'progressive electro house', 'progressive house', 'tropical house']",EDM,unknown,white,0.007036399,0.06602848,0.008220498,0.91871464,52.78571429
Against The Current,0.059906667,0.466666667,212391,0.668666667,0,0.242,-5.769666667,0.088133333,145.0246667,0.151533333,4,0,3,"['neon pop punk', 'pixie', 'pop punk', 'viral pop']",Pop,female,white,0.101341076,0.05155054,0.11495764,0.7321508,75
